                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5186,                 1.4169,                 1.3973,                0.74876,                0.58439,                0.67339,                0.42739,                 1.2369,                 1.0238,                 1.1889,              0.0084144,              0.0084144,              0.0084144
                     35,                 1.5162,                 1.4089,                  1.394,                0.74961,                0.58514,                0.67398,                0.42813,                 1.2355,                 1.0222,                 1.1878,              0.0083649,              0.0083649,              0.0083649
                     36,                  1.514,                  1.403,                 1.3892,                0.75186,                0.58401,                0.67459,                0.42871,                 1.2341,                 1.0208,                 1.1866,              0.0083153,              0.0083153,              0.0083153
                     37,                 1.5103,                 1.4061,                 1.3934,                0.75247,                 0.5839,                0.67485,                0.42899,                 1.2331,                 1.0197,                 1.1859,              0.0082657,              0.0082657,              0.0082657
                     38,                 1.5092,                 1.4012,                 1.3872,                0.75408,                0.58335,                 0.6751,                0.42934,                 1.2319,                 1.0184,                 1.1848,              0.0082162,              0.0082162,              0.0082162
                     39,                 1.5068,                 1.3988,                 1.3862,                0.75292,                0.58461,                0.67561,                0.42964,                 1.2308,                 1.0171,                 1.1839,              0.0081666,              0.0081666,              0.0081666
                     40,                 1.5039,                 1.3974,                 1.3876,                0.75365,                0.58536,                 0.6758,                0.43025,                 1.2299,                 1.0156,                 1.1832,              0.0081171,              0.0081171,              0.0081171
                     41,                 1.5026,                 1.3898,                 1.3828,                0.75058,                0.58654,                0.67592,                0.43043,                 1.2285,                 1.0146,                 1.1823,              0.0080675,              0.0080675,              0.0080675
                     42,                 1.5027,                 1.3907,                 1.3832,                0.75125,                0.58736,                0.67658,                0.43128,                 1.2267,                 1.0135,                 1.1814,               0.008018,               0.008018,               0.008018
                     43,                 1.5047,                 1.3946,                 1.3841,                0.75302,                0.58626,                0.67663,                0.43171,                 1.2256,                 1.0126,                 1.1806,              0.0079685,              0.0079685,              0.0079685
                     44,                 1.5035,                 1.3889,                 1.3824,                0.75451,                 0.5861,                0.67715,                0.43242,                  1.225,                 1.0115,                 1.1798,              0.0079189,              0.0079189,              0.0079189
                     45,                 1.4988,                  1.384,                 1.3799,                0.75554,                0.58595,                0.67744,                0.43267,                 1.2244,                 1.0111,                 1.1792,              0.0078694,              0.0078694,              0.0078694
                     46,                 1.4964,                 1.3804,                 1.3784,                 0.7549,                0.58615,                0.67773,                 0.4331,                 1.2234,                 1.0099,                 1.1784,              0.0078198,              0.0078198,              0.0078198
                     47,                 1.4947,                 1.3757,                 1.3768,                 0.7556,                0.58741,                0.67805,                0.43357,                 1.2224,                 1.0089,                 1.1778,              0.0077703,              0.0077703,              0.0077703
                     48,                  1.495,                 1.3788,                 1.3744,                0.75254,                0.58822,                0.67831,                0.43412,                 1.2213,                 1.0074,                  1.177,              0.0077207,              0.0077207,              0.0077207
                     49,                 1.4927,                 1.3783,                 1.3797,                0.75114,                0.58763,                0.67871,                0.43506,                 1.2203,                 1.0059,                 1.1762,              0.0076711,              0.0076711,              0.0076711
                     50,                 1.4898,                 1.3711,                 1.3735,                0.75279,                0.58714,                0.67896,                0.43549,                 1.2194,                 1.0049,                 1.1753,              0.0076216,              0.0076216,              0.0076216
                     51,                 1.4874,                 1.3679,                 1.3705,                0.75207,                0.58824,                0.67957,                0.43579,                 1.2181,                 1.0036,                 1.1746,              0.0075721,              0.0075721,              0.0075721
                     52,                 1.4881,                 1.3722,                 1.3731,                0.75469,                 0.5873,                0.68004,                0.43627,                 1.2173,                 1.0026,                  1.174,              0.0075225,              0.0075225,              0.0075225
                     53,                 1.4873,                 1.3692,                 1.3727,                0.75608,                0.58747,                0.68037,                0.43673,                 1.2161,                 1.0018,                 1.1731,               0.007473,               0.007473,               0.007473
                     54,                 1.4875,                 1.3657,                 1.3713,                0.75641,                0.58648,                0.68063,                0.43725,                 1.2147,                 1.0007,                 1.1723,              0.0074234,              0.0074234,              0.0074234
                     55,                 1.4793,                 1.3624,                 1.3674,                0.75765,                0.58686,                0.68146,                0.43775,                 1.2138,                0.99947,                 1.1717,              0.0073738,              0.0073738,              0.0073738
                     56,                 1.4824,                 1.3621,                  1.369,                0.75932,                0.58544,                0.68151,                0.43825,                 1.2128,                0.99834,                 1.1712,              0.0073243,              0.0073243,              0.0073243
                     57,                 1.4784,                 1.3583,                 1.3655,                0.75894,                0.58686,                 0.6819,                0.43861,                 1.2121,                0.99705,                 1.1707,              0.0072747,              0.0072747,              0.0072747
                     58,                 1.4796,                 1.3542,                  1.365,                0.75792,                0.58845,                 0.6822,                0.43915,                 1.2117,                 0.9961,                 1.1703,              0.0072252,              0.0072252,              0.0072252
                     59,                 1.4782,                 1.3546,                 1.3631,                0.76144,                0.58604,                0.68224,                0.43943,                 1.2109,                 0.9952,                 1.1696,              0.0071757,              0.0071757,              0.0071757
                     60,                 1.4744,                 1.3572,                  1.366,                0.76308,                0.58516,                 0.6829,                   0.44,                 1.2098,                0.99378,                 1.1689,              0.0071261,              0.0071261,              0.0071261
                     61,                  1.478,                 1.3553,                 1.3652,                0.76344,                 0.5867,                0.68358,                0.44021,                 1.2087,                0.99202,                 1.1681,              0.0070766,              0.0070766,              0.0070766
                     62,                 1.4741,                 1.3506,                 1.3639,                0.76277,                0.58692,                0.68392,                0.44061,                 1.2076,                0.99064,                 1.1672,               0.007027,               0.007027,               0.007027
                     63,                 1.4732,                  1.349,                 1.3637,                0.76424,                0.58626,                0.68436,                0.44141,                 1.2067,                0.98947,                 1.1666,              0.0069775,              0.0069775,              0.0069775
                     64,                 1.4721,                 1.3483,                 1.3619,                0.76326,                0.58774,                0.68467,                 0.4415,                 1.2055,                0.98863,                 1.1659,              0.0069279,              0.0069279,              0.0069279
                     65,                  1.469,                 1.3422,                 1.3596,                0.76339,                 0.5883,                0.68505,                0.44195,                 1.2048,                0.98776,                 1.1655,              0.0068784,              0.0068784,              0.0068784
                     66,                 1.4678,                 1.3448,                 1.3597,                0.76372,                0.58726,                0.68515,                0.44256,                  1.204,                 0.9869,                 1.1649,              0.0068288,              0.0068288,              0.0068288
                     67,                 1.4678,                  1.343,                 1.3576,                 0.7655,                0.58698,                0.68517,                0.44305,                 1.2027,                0.98565,                 1.1641,              0.0067793,              0.0067793,              0.0067793
                     68,                 1.4692,                 1.3451,                 1.3605,                0.76199,                0.58873,                0.68571,                0.44316,                 1.2015,                0.98466,                 1.1635,              0.0067297,              0.0067297,              0.0067297
