                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4321,                 1.2872,                 1.3629,                0.77691,                0.63674,                0.73266,                  0.481,                 1.1596,                0.91432,                 1.1542,              0.0083649,              0.0083649,              0.0083649
                     36,                 1.4284,                 1.2832,                   1.36,                0.77957,                0.63488,                0.73249,                0.48137,                 1.1589,                0.91355,                 1.1536,              0.0083153,              0.0083153,              0.0083153
                     37,                 1.4279,                 1.2847,                 1.3637,                0.78016,                 0.6354,                0.73303,                0.48171,                 1.1577,                0.91266,                  1.153,              0.0082657,              0.0082657,              0.0082657
                     38,                 1.4279,                 1.2825,                 1.3588,                0.77982,                0.63565,                0.73296,                0.48214,                 1.1569,                0.91189,                 1.1524,              0.0082162,              0.0082162,              0.0082162
                     39,                 1.4294,                 1.2822,                 1.3577,                0.77842,                0.63636,                0.73343,                0.48263,                 1.1561,                0.91062,                 1.1521,              0.0081666,              0.0081666,              0.0081666
                     40,                 1.4238,                 1.2799,                 1.3587,                0.77958,                0.63663,                0.73394,                0.48286,                 1.1551,                0.90989,                 1.1516,              0.0081171,              0.0081171,              0.0081171
                     41,                 1.4229,                 1.2756,                 1.3554,                0.77842,                 0.6371,                0.73417,                0.48326,                 1.1541,                 0.9091,                 1.1508,              0.0080675,              0.0080675,              0.0080675
                     42,                 1.4237,                 1.2757,                 1.3546,                0.77724,                0.63888,                0.73469,                0.48398,                 1.1533,                0.90835,                 1.1503,               0.008018,               0.008018,               0.008018
                     43,                 1.4244,                 1.2775,                  1.358,                0.78079,                0.63746,                0.73512,                0.48411,                 1.1526,                0.90796,                 1.1498,              0.0079685,              0.0079685,              0.0079685
                     44,                 1.4247,                 1.2748,                 1.3541,                0.78265,                0.63742,                0.73543,                0.48463,                 1.1518,                0.90692,                 1.1492,              0.0079189,              0.0079189,              0.0079189
                     45,                 1.4201,                 1.2696,                 1.3533,                0.78289,                0.63773,                0.73587,                0.48506,                 1.1507,                0.90611,                 1.1486,              0.0078694,              0.0078694,              0.0078694
                     46,                 1.4168,                  1.268,                 1.3511,                0.78181,                0.63861,                0.73597,                0.48513,                   1.15,                0.90552,                 1.1481,              0.0078198,              0.0078198,              0.0078198
                     47,                 1.4171,                  1.265,                  1.351,                0.78108,                 0.6402,                0.73613,                0.48563,                  1.149,                0.90459,                 1.1476,              0.0077703,              0.0077703,              0.0077703
                     48,                 1.4188,                 1.2677,                 1.3508,                0.78088,                0.64025,                0.73645,                0.48611,                 1.1483,                0.90369,                 1.1473,              0.0077207,              0.0077207,              0.0077207
                     49,                 1.4167,                 1.2667,                  1.353,                 0.7792,                0.64179,                0.73698,                0.48626,                 1.1472,                0.90281,                 1.1465,              0.0076711,              0.0076711,              0.0076711
                     50,                 1.4123,                 1.2636,                 1.3489,                0.77922,                0.64075,                0.73684,                0.48666,                 1.1464,                0.90203,                  1.146,              0.0076216,              0.0076216,              0.0076216
                     51,                  1.411,                 1.2615,                 1.3474,                0.77825,                0.64186,                0.73712,                0.48677,                 1.1457,                0.90124,                 1.1455,              0.0075721,              0.0075721,              0.0075721
                     52,                 1.4135,                 1.2649,                 1.3492,                 0.7807,                0.64086,                0.73733,                0.48703,                 1.1448,                0.90071,                 1.1448,              0.0075225,              0.0075225,              0.0075225
