                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3722,                 1.2188,                 1.5264,                0.79601,                0.63551,                0.73599,                0.48542,                 1.1355,                0.87054,                 1.3708,              0.0078198,              0.0078198,              0.0078198
                     36,                 1.3751,                 1.2199,                 1.5248,                0.79346,                 0.6385,                0.73618,                0.48584,                 1.1346,                0.86965,                 1.3696,              0.0077537,              0.0077537,              0.0077537
                     37,                 1.3694,                 1.2154,                 1.5199,                0.79191,                0.63998,                0.73679,                 0.4862,                 1.1338,                0.86904,                 1.3687,              0.0076877,              0.0076877,              0.0076877
                     38,                 1.3659,                 1.2112,                 1.5162,                0.79253,                 0.6393,                0.73667,                0.48667,                 1.1332,                0.86831,                 1.3678,              0.0076216,              0.0076216,              0.0076216
                     39,                 1.3726,                 1.2151,                 1.5179,                0.79328,                0.64014,                 0.7374,                0.48694,                 1.1322,                0.86757,                 1.3668,              0.0075555,              0.0075555,              0.0075555
                     40,                 1.3629,                 1.2097,                 1.5113,                0.79383,                0.64091,                0.73784,                0.48747,                 1.1311,                0.86694,                 1.3657,              0.0074895,              0.0074895,              0.0074895
                     41,                 1.3634,                 1.2087,                 1.5067,                0.79401,                 0.6396,                0.73827,                0.48797,                 1.1305,                0.86617,                 1.3644,              0.0074234,              0.0074234,              0.0074234
                     42,                  1.362,                 1.2074,                 1.5034,                0.79461,                0.63987,                0.73874,                0.48868,                 1.1295,                0.86504,                  1.363,              0.0073573,              0.0073573,              0.0073573
                     43,                  1.365,                 1.2104,                 1.5069,                0.79356,                0.63987,                 0.7388,                0.48959,                 1.1289,                0.86396,                 1.3623,              0.0072913,              0.0072913,              0.0072913
                     44,                 1.3606,                 1.2069,                 1.5005,                0.79427,                0.63935,                0.73884,                0.48987,                 1.1282,                0.86256,                 1.3613,              0.0072252,              0.0072252,              0.0072252
                     45,                 1.3583,                  1.203,                 1.4994,                0.79578,                0.63932,                0.73923,                0.49047,                 1.1273,                0.86161,                 1.3599,              0.0071591,              0.0071591,              0.0071591
                     46,                 1.3565,                  1.201,                  1.496,                0.79579,                0.63993,                 0.7397,                0.49097,                 1.1265,                0.86085,                 1.3586,              0.0070931,              0.0070931,              0.0070931
                     47,                 1.3536,                 1.1993,                 1.4922,                0.79581,                0.64141,                0.74028,                0.49156,                 1.1261,                   0.86,                 1.3578,               0.007027,               0.007027,               0.007027
                     48,                  1.355,                 1.1994,                 1.4908,                0.79499,                 0.6425,                0.74057,                0.49194,                 1.1252,                0.85915,                 1.3566,              0.0069609,              0.0069609,              0.0069609
                     49,                  1.352,                 1.1989,                  1.489,                0.79519,                0.64234,                0.74068,                0.49234,                 1.1243,                0.85822,                 1.3551,              0.0068949,              0.0068949,              0.0068949
                     50,                 1.3475,                 1.1945,                 1.4838,                0.79787,                0.64135,                0.74101,                0.49267,                 1.1235,                0.85726,                 1.3537,              0.0068288,              0.0068288,              0.0068288
                     51,                 1.3523,                 1.1962,                 1.4848,                0.79741,                0.64192,                0.74155,                0.49341,                 1.1224,                0.85665,                 1.3522,              0.0067627,              0.0067627,              0.0067627
                     52,                 1.3489,                 1.1943,                 1.4808,                0.79682,                0.64174,                0.74187,                0.49402,                 1.1214,                0.85578,                 1.3504,              0.0066967,              0.0066967,              0.0066967
                     53,                 1.3461,                 1.1926,                 1.4814,                0.79541,                0.64267,                0.74244,                 0.4945,                  1.121,                0.85513,                 1.3489,              0.0066306,              0.0066306,              0.0066306
                     54,                 1.3491,                 1.1914,                 1.4786,                0.79539,                 0.6419,                 0.7425,                0.49489,                 1.1204,                0.85445,                 1.3475,              0.0065645,              0.0065645,              0.0065645
